statement,connective,pattern,label,conj_a,conj_b
The city of Handan is in Russia and the city of Nyala is in Mozambique.,and,FF,0,The city of Handan is in Russia.,The city of Nyala is in Mozambique.
The city of Heze is in China and the city of Rio de Janeiro is in Brazil.,and,TT,1,The city of Heze is in China.,The city of Rio de Janeiro is in Brazil.
The city of Ipoh is in Brazil or the city of Oklahoma City is in the United States.,or,FT,1,The city of Ipoh is in Brazil.,The city of Oklahoma City is in the United States.
The city of Tembisa is in South Africa or the city of Guayaquil is in China.,or,TF,1,The city of Tembisa is in South Africa.,The city of Guayaquil is in China.
The city of Yerevan is in Armenia or the city of Amman is in Jordan.,or,TT,1,The city of Yerevan is in Armenia.,The city of Amman is in Jordan.
The city of Gold Coast is in Australia or the city of Santiago de Cuba is in India.,or,TF,1,The city of Gold Coast is in Australia.,The city of Santiago de Cuba is in India.
The city of Wuzhou is in Syria and the city of Konya is in Turkey.,and,FT,0,The city of Wuzhou is in Syria.,The city of Konya is in Turkey.
The city of Al Mahallah al Kubra is in Egypt or the city of Warri is in China.,or,TF,1,The city of Al Mahallah al Kubra is in Egypt.,The city of Warri is in China.
The city of Lu'an is in China and the city of San Miguel de Tucuman is in China.,and,TF,0,The city of Lu'an is in China.,The city of San Miguel de Tucuman is in China.
The city of Langfang is in India and the city of Jaboatao is in Brazil.,and,FT,0,The city of Langfang is in India.,The city of Jaboatao is in Brazil.
The city of Zaria is in India and the city of Jinan is in Rwanda.,and,FF,0,The city of Zaria is in India.,The city of Jinan is in Rwanda.
The city of Prayagraj is in India and the city of Chongqing is in China.,and,TT,1,The city of Prayagraj is in India.,The city of Chongqing is in China.
The city of Shantou is in Pakistan or the city of Baoji is in China.,or,FT,1,The city of Shantou is in Pakistan.,The city of Baoji is in China.
The city of Cixi is in China or the city of Bahcelievler is in Germany.,or,TF,1,The city of Cixi is in China.,The city of Bahcelievler is in Germany.
The city of Pontianak is in Indonesia or the city of The Bronx is in South Korea.,or,TF,1,The city of Pontianak is in Indonesia.,The city of The Bronx is in South Korea.
The city of Kalininskiy is in Japan and the city of Ghaziabad is in India.,and,FT,0,The city of Kalininskiy is in Japan.,The city of Ghaziabad is in India.
The city of Libreville is in the United States or the city of Huaibei is in Brazil.,or,FF,0,The city of Libreville is in the United States.,The city of Huaibei is in Brazil.
The city of Manaus is in Brazil or the city of Sao Bernardo do Campo is in Zambia.,or,TF,1,The city of Manaus is in Brazil.,The city of Sao Bernardo do Campo is in Zambia.
The city of Nay Pyi Taw is in Mozambique or the city of Benin City is in Nigeria.,or,FT,1,The city of Nay Pyi Taw is in Mozambique.,The city of Benin City is in Nigeria.
The city of Frankfurt am Main is in Germany and the city of Islamabad is in Japan.,and,TF,0,The city of Frankfurt am Main is in Germany.,The city of Islamabad is in Japan.
The city of Chizhou is in China or the city of Haiphong is in Vietnam.,or,TT,1,The city of Chizhou is in China.,The city of Haiphong is in Vietnam.
The city of Santo Domingo Oeste is in Zambia and the city of Kanpur is in India.,and,FT,0,The city of Santo Domingo Oeste is in Zambia.,The city of Kanpur is in India.
The city of Bengbu is in India or the city of Dandong is in Niger.,or,FF,0,The city of Bengbu is in India.,The city of Dandong is in Niger.
The city of Saint Petersburg is in Canada or the city of Tanggu is in South Korea.,or,FF,0,The city of Saint Petersburg is in Canada.,The city of Tanggu is in South Korea.
The city of Denpasar is in Indonesia and the city of Namangan is in India.,and,TF,0,The city of Denpasar is in Indonesia.,The city of Namangan is in India.
The city of Pasig City is in Morocco and the city of Volgograd is in Nigeria.,and,FF,0,The city of Pasig City is in Morocco.,The city of Volgograd is in Nigeria.
The city of Copenhagen is in Denmark or the city of Siping is in China.,or,TT,1,The city of Copenhagen is in Denmark.,The city of Siping is in China.
The city of Kimhae is in Senegal or the city of Laiwu is in China.,or,FT,1,The city of Kimhae is in Senegal.,The city of Laiwu is in China.
The city of Grosszschocher is in Germany and the city of Luancheng is in China.,and,TT,1,The city of Grosszschocher is in Germany.,The city of Luancheng is in China.
The city of Bishkek is in Germany or the city of Wuhan is in Egypt.,or,FF,0,The city of Bishkek is in Germany.,The city of Wuhan is in Egypt.
The city of Amritsar is in India and the city of Port Harcourt is in Nigeria.,and,TT,1,The city of Amritsar is in India.,The city of Port Harcourt is in Nigeria.
The city of Chengdu is in South Korea and the city of Feira de Santana is in Brazil.,and,FT,0,The city of Chengdu is in South Korea.,The city of Feira de Santana is in Brazil.
The city of Yaounde is in China and the city of Nanchang is in China.,and,FT,0,The city of Yaounde is in China.,The city of Nanchang is in China.
The city of Makassar is in China or the city of Indianapolis is in Côte d'Ivoire.,or,FF,0,The city of Makassar is in China.,The city of Indianapolis is in Côte d'Ivoire.
The city of Hangzhou is in Russia and the city of Ha'il is in Saudi Arabia.,and,FT,0,The city of Hangzhou is in Russia.,The city of Ha'il is in Saudi Arabia.
The city of Porto Velho is in Algeria or the city of South Tangerang is in Indonesia.,or,FT,1,The city of Porto Velho is in Algeria.,The city of South Tangerang is in Indonesia.
The city of Cucuta is in India and the city of Klang is in China.,and,FF,0,The city of Cucuta is in India.,The city of Klang is in China.
The city of Meizhou is in Russia and the city of Comilla is in China.,and,FF,0,The city of Meizhou is in Russia.,The city of Comilla is in China.
The city of Kumamoto is in Japan and the city of Yongzhou is in Ukraine.,and,TF,0,The city of Kumamoto is in Japan.,The city of Yongzhou is in Ukraine.
The city of Chizhou is in China or the city of Detroit is in China.,or,TF,1,The city of Chizhou is in China.,The city of Detroit is in China.
The city of Huainan is in China and the city of Jaboatao dos Guararapes is in Myanmar.,and,TF,0,The city of Huainan is in China.,The city of Jaboatao dos Guararapes is in Myanmar.
The city of Suining is in Algeria or the city of Hezhou is in China.,or,FT,1,The city of Suining is in Algeria.,The city of Hezhou is in China.
The city of Leon de los Aldama is in China or the city of Kunshan is in Russia.,or,FF,0,The city of Leon de los Aldama is in China.,The city of Kunshan is in Russia.
The city of Krasnodar is in South Africa or the city of Weifang is in China.,or,FT,1,The city of Krasnodar is in South Africa.,The city of Weifang is in China.
The city of Tangshan is in India and the city of Aktobe is in Afghanistan.,and,FF,0,The city of Tangshan is in India.,The city of Aktobe is in Afghanistan.
The city of Xuchang is in China and the city of Maturin is in Saudi Arabia.,and,TF,0,The city of Xuchang is in China.,The city of Maturin is in Saudi Arabia.
The city of Putian is in China and the city of Kano is in Nigeria.,and,TT,1,The city of Putian is in China.,The city of Kano is in Nigeria.
The city of Hanzhong is in Iran and the city of Nizhniy Novgorod is in Russia.,and,FT,0,The city of Hanzhong is in Iran.,The city of Nizhniy Novgorod is in Russia.
The city of Tanggu is in South Korea and the city of Cankaya is in Turkey.,and,FT,0,The city of Tanggu is in South Korea.,The city of Cankaya is in Turkey.
The city of Bikaner is in India or the city of Addis Ababa is in Ethiopia.,or,TT,1,The city of Bikaner is in India.,The city of Addis Ababa is in Ethiopia.
The city of Jaboatao is in Brazil or the city of Barnaul is in Russia.,or,TT,1,The city of Jaboatao is in Brazil.,The city of Barnaul is in Russia.
The city of Qingdao is in India and the city of Ryazan' is in Russia.,and,FT,0,The city of Qingdao is in India.,The city of Ryazan' is in Russia.
The city of Bamako is in Mali and the city of Tianjin is in Bangladesh.,and,TF,0,The city of Bamako is in Mali.,The city of Tianjin is in Bangladesh.
The city of Cancun is in Mexico and the city of Torreon is in India.,and,TF,0,The city of Cancun is in Mexico.,The city of Torreon is in India.
The city of Cebu City is in the Philippines and the city of Ribeirao Preto is in China.,and,TF,0,The city of Cebu City is in the Philippines.,The city of Ribeirao Preto is in China.
The city of Puning is in India or the city of Sanya is in China.,or,FT,1,The city of Puning is in India.,The city of Sanya is in China.
The city of Zhenjiang is in Germany and the city of New South Memphis is in the United States.,and,FT,0,The city of Zhenjiang is in Germany.,The city of New South Memphis is in the United States.
The city of Mudanjiang is in China or the city of Pasig City is in Morocco.,or,TF,1,The city of Mudanjiang is in China.,The city of Pasig City is in Morocco.
The city of Budapest is in Hungary or the city of Qionghai is in China.,or,TT,1,The city of Budapest is in Hungary.,The city of Qionghai is in China.
The city of Al Hudaydah is in South Korea and the city of Huaihua is in South Africa.,and,FF,0,The city of Al Hudaydah is in South Korea.,The city of Huaihua is in South Africa.
The city of Ganzhou is in South Korea or the city of Cebu City is in China.,or,FF,0,The city of Ganzhou is in South Korea.,The city of Cebu City is in China.
The city of Caracas is in Sudan or the city of Accra is in Ghana.,or,FT,1,The city of Caracas is in Sudan.,The city of Accra is in Ghana.
The city of Kharkiv is in Moldova or the city of Karaj is in Iran.,or,FT,1,The city of Kharkiv is in Moldova.,The city of Karaj is in Iran.
The city of The Bronx is in the United States or the city of Asmara is in Eritrea.,or,TT,1,The city of The Bronx is in the United States.,The city of Asmara is in Eritrea.
The city of Ya'an is in Morocco and the city of Bauchi is in Nigeria.,and,FT,0,The city of Ya'an is in Morocco.,The city of Bauchi is in Nigeria.
The city of Qiqihar is in India or the city of Jaboatao dos Guararapes is in Brazil.,or,FT,1,The city of Qiqihar is in India.,The city of Jaboatao dos Guararapes is in Brazil.
The city of Baghdad is in Iraq and the city of Panshan is in China.,and,TT,1,The city of Baghdad is in Iraq.,The city of Panshan is in China.
The city of Gujranwala is in China or the city of Volgograd is in Nigeria.,or,FF,0,The city of Gujranwala is in China.,The city of Volgograd is in Nigeria.
The city of Niamey is in Niger or the city of Zibo is in China.,or,TT,1,The city of Niamey is in Niger.,The city of Zibo is in China.
The city of Weinan is in China or the city of Xuanzhou is in China.,or,TT,1,The city of Weinan is in China.,The city of Xuanzhou is in China.
The city of Jabalpur is in Ukraine and the city of Chelyabinsk is in Russia.,and,FT,0,The city of Jabalpur is in Ukraine.,The city of Chelyabinsk is in Russia.
The city of Harbin is in China or the city of Battagram is in Pakistan.,or,TT,1,The city of Harbin is in China.,The city of Battagram is in Pakistan.
The city of Port Harcourt is in Nigeria and the city of Wuzhou is in Syria.,and,TF,0,The city of Port Harcourt is in Nigeria.,The city of Wuzhou is in Syria.
The city of Recife is in Brazil and the city of Ciudad Guayana is in South Africa.,and,TF,0,The city of Recife is in Brazil.,The city of Ciudad Guayana is in South Africa.
The city of Palembang is in Brazil or the city of Amman is in Malaysia.,or,FF,0,The city of Palembang is in Brazil.,The city of Amman is in Malaysia.
The city of Krasnoyarsk is in India and the city of Krakow is in Poland.,and,FT,0,The city of Krasnoyarsk is in India.,The city of Krakow is in Poland.
The city of Bishkek is in Kyrgyzstan or the city of Bouake is in China.,or,TF,1,The city of Bishkek is in Kyrgyzstan.,The city of Bouake is in China.
The city of Indianapolis is in Côte d'Ivoire or the city of Dushanbe is in Nigeria.,or,FF,0,The city of Indianapolis is in Côte d'Ivoire.,The city of Dushanbe is in Nigeria.
The city of Rajkot is in India and the city of Shihezi is in China.,and,TT,1,The city of Rajkot is in India.,The city of Shihezi is in China.
The city of Lu'an is in Turkey and the city of Laiwu is in the United States.,and,FF,0,The city of Lu'an is in Turkey.,The city of Laiwu is in the United States.
The city of Tonghua is in Venezuela and the city of Voronezh is in Romania.,and,FF,0,The city of Tonghua is in Venezuela.,The city of Voronezh is in Romania.
The city of Ganzhou is in South Korea or the city of Linyi is in China.,or,FT,1,The city of Ganzhou is in South Korea.,The city of Linyi is in China.
The city of Coyoacan is in Kenya or the city of Chengdu is in South Korea.,or,FF,0,The city of Coyoacan is in Kenya.,The city of Chengdu is in South Korea.
The city of Qinhuangdao is in China or the city of Sambhaji Nagar is in India.,or,TT,1,The city of Qinhuangdao is in China.,The city of Sambhaji Nagar is in India.
The city of Agadir is in Morocco and the city of Nanded is in India.,and,TT,1,The city of Agadir is in Morocco.,The city of Nanded is in India.
The city of Bucaramanga is in Colombia and the city of Penza is in China.,and,TF,0,The city of Bucaramanga is in Colombia.,The city of Penza is in China.
The city of Nowrangapur is in Vietnam and the city of Ciudad Guayana is in South Africa.,and,FF,0,The city of Nowrangapur is in Vietnam.,The city of Ciudad Guayana is in South Africa.
The city of Kumasi is in India and the city of Shivaji Nagar is in India.,and,FT,0,The city of Kumasi is in India.,The city of Shivaji Nagar is in India.
The city of Al Mawsil al Jadidah is in Iraq and the city of Anshun is in Brazil.,and,TF,0,The city of Al Mawsil al Jadidah is in Iraq.,The city of Anshun is in Brazil.
The city of Puning is in India or the city of Warri is in China.,or,FF,0,The city of Puning is in India.,The city of Warri is in China.
The city of Tabriz is in Iran or the city of Harbin is in Russia.,or,TF,1,The city of Tabriz is in Iran.,The city of Harbin is in Russia.
The city of Duque de Caxias is in Côte d'Ivoire or the city of Saitama is in India.,or,FF,0,The city of Duque de Caxias is in Côte d'Ivoire.,The city of Saitama is in India.
The city of Shiraz is in China or the city of Samarkand is in China.,or,FF,0,The city of Shiraz is in China.,The city of Samarkand is in China.
The city of Tanggu is in China and the city of Chiclayo is in Venezuela.,and,TF,0,The city of Tanggu is in China.,The city of Chiclayo is in Venezuela.
The city of Kyiv is in Ukraine or the city of Muscat is in Bangladesh.,or,TF,1,The city of Kyiv is in Ukraine.,The city of Muscat is in Bangladesh.
The city of Weinan is in China and the city of Kumamoto is in Japan.,and,TT,1,The city of Weinan is in China.,The city of Kumamoto is in Japan.
The city of Jiaozhou is in China or the city of Anshun is in Brazil.,or,TF,1,The city of Jiaozhou is in China.,The city of Anshun is in Brazil.
The city of Torreon is in Mexico and the city of Guiyang is in South Korea.,and,TF,0,The city of Torreon is in Mexico.,The city of Guiyang is in South Korea.
The city of Nanjing is in China or the city of Ecatepec de Morelos is in India.,or,TF,1,The city of Nanjing is in China.,The city of Ecatepec de Morelos is in India.
The city of Nagoya is in Japan and the city of Baotou is in China.,and,TT,1,The city of Nagoya is in Japan.,The city of Baotou is in China.
The city of Suizhou is in China or the city of Cotonou is in China.,or,TF,1,The city of Suizhou is in China.,The city of Cotonou is in China.
The city of Jambi City is in China or the city of Londrina is in India.,or,FF,0,The city of Jambi City is in China.,The city of Londrina is in India.
The city of Osaka is in Japan or the city of Fuxin is in Pakistan.,or,TF,1,The city of Osaka is in Japan.,The city of Fuxin is in Pakistan.
The city of Langfang is in India or the city of Jaboatao is in Syria.,or,FF,0,The city of Langfang is in India.,The city of Jaboatao is in Syria.
The city of Zibo is in India or the city of Theni is in India.,or,FT,1,The city of Zibo is in India.,The city of Theni is in India.
The city of Mumbai is in India or the city of Acapulco de Juarez is in Morocco.,or,TF,1,The city of Mumbai is in India.,The city of Acapulco de Juarez is in Morocco.
The city of Kayseri is in Turkey and the city of Phnom Penh is in Cambodia.,and,TT,1,The city of Kayseri is in Turkey.,The city of Phnom Penh is in Cambodia.
The city of Kobe is in Japan and the city of Bouake is in China.,and,TF,0,The city of Kobe is in Japan.,The city of Bouake is in China.
The city of Hengyang is in Turkey or the city of Fukuoka is in Japan.,or,FT,1,The city of Hengyang is in Turkey.,The city of Fukuoka is in Japan.
The city of Tabriz is in India and the city of Latakia is in Somalia.,and,FF,0,The city of Tabriz is in India.,The city of Latakia is in Somalia.
The city of Kolkata is in India and the city of Kagoshima is in India.,and,TF,0,The city of Kolkata is in India.,The city of Kagoshima is in India.
The city of Chennai is in China and the city of Niigata is in Yemen.,and,FF,0,The city of Chennai is in China.,The city of Niigata is in Yemen.
The city of Tembisa is in the Philippines and the city of Bauchi is in Iran.,and,FF,0,The city of Tembisa is in the Philippines.,The city of Bauchi is in Iran.
The city of Baotou is in China and the city of Pingliang is in Tanzania.,and,TF,0,The city of Baotou is in China.,The city of Pingliang is in Tanzania.
The city of Kagoshima is in India or the city of Langfang is in China.,or,FT,1,The city of Kagoshima is in India.,The city of Langfang is in China.
The city of Da Nang is in China and the city of Shangluo is in China.,and,FT,0,The city of Da Nang is in China.,The city of Shangluo is in China.
The city of Goeteborg is in Sweden or the city of Guangyuan is in China.,or,TT,1,The city of Goeteborg is in Sweden.,The city of Guangyuan is in China.
The city of Gaziantep is in Turkey and the city of Zhenjiang is in China.,and,TT,1,The city of Gaziantep is in Turkey.,The city of Zhenjiang is in China.
The city of Maracaibo is in Russia and the city of Baghdad is in Iraq.,and,FT,0,The city of Maracaibo is in Russia.,The city of Baghdad is in Iraq.
The city of Mogadishu is in Iran and the city of Jeddah is in Myanmar.,and,FF,0,The city of Mogadishu is in Iran.,The city of Jeddah is in Myanmar.
The city of Rangpur is in Russia and the city of Nanchong is in China.,and,FT,0,The city of Rangpur is in Russia.,The city of Nanchong is in China.
The city of Dombivli is in India and the city of Caloocan City is in China.,and,TF,0,The city of Dombivli is in India.,The city of Caloocan City is in China.
The city of Tianjin is in China and the city of Antwerpen is in Japan.,and,TF,0,The city of Tianjin is in China.,The city of Antwerpen is in Japan.
The city of Zaozhuang is in China and the city of Erzurum is in Turkey.,and,TT,1,The city of Zaozhuang is in China.,The city of Erzurum is in Turkey.
The city of Makhachkala is in Russia or the city of Muscat is in Oman.,or,TT,1,The city of Makhachkala is in Russia.,The city of Muscat is in Oman.
The city of Samarkand is in China or the city of Bhubaneswar is in China.,or,FF,0,The city of Samarkand is in China.,The city of Bhubaneswar is in China.
The city of Sevastopol is in Ukraine and the city of Mumbai is in China.,and,TF,0,The city of Sevastopol is in Ukraine.,The city of Mumbai is in China.
The city of Hamhung is in North Korea and the city of Qiqihar is in India.,and,TF,0,The city of Hamhung is in North Korea.,The city of Qiqihar is in India.
